,fuel_type,body_type,owner_type,transmission_type,manufacture,seat,owner_no,oem,price,mileage,engine_capacity,city,kilometers_log
1066,1,2,1,1,2021.0,5.0,1,13,8.4,20.5,999.0,1,10.502049290606205
1067,1,3,1,1,2012.0,5.0,1,1,2.95,21.1,1197.0,1,9.117347505127018
1068,1,3,1,2,2021.0,5.0,1,7,7.4,16.0,1194.0,1,9.541297427909285
1069,1,3,1,1,2017.0,5.0,1,1,5.2,25.24,998.0,1,10.97272252249356
1070,1,1,1,1,2021.0,7.0,1,1,4.7,16.11,1196.0,1,9.903487552536127
1071,2,3,3,1,2015.0,5.0,3,1,2.0,23.2,1248.0,1,11.289781913656018
1072,2,3,3,1,2013.0,5.0,0,1,3.95,22.9,1248.0,1,11.097273648073832
1073,2,3,1,1,2016.0,6.0,1,12,3.5,25.32,1198.0,1,9.502786080276985
1074,1,4,2,2,2015.0,5.0,2,1,5.5,19.12,1373.0,1,10.952927103863022
1075,1,4,1,1,2015.0,5.0,1,8,4.0,17.57,1193.0,1,11.16220419128329
1076,1,4,1,2,2019.0,5.0,0,4,6.4,19.0,1199.0,1,10.017753298664472
1077,2,3,1,1,2009.0,5.0,0,8,1.35,17.0,1405.0,1,11.3271379085331
1078,1,3,1,1,2008.0,5.0,0,3,1.7,20.36,1197.0,1,11.370382158184686
1079,1,3,1,1,2008.0,5.0,0,3,1.95,19.81,1086.0,1,11.25197619892012
1080,1,3,1,1,2019.0,5.0,1,16,3.12,22.7,799.0,1,9.98109653186311
1081,1,3,1,1,2020.0,5.0,1,1,3.83,22.05,796.0,1,10.473760634945538
1082,2,4,1,1,2010.0,5.0,0,15,3.1,20.54,1598.0,1,11.40249657120084
1083,1,3,1,1,2019.0,5.0,1,3,5.9,18.6,1197.0,1,11.330179818262858
1084,1,3,1,2,2022.0,5.0,1,1,7.58,20.89,1197.0,1,10.411810046084
1085,1,3,2,1,2015.0,5.0,2,4,4.8,18.2,1199.0,1,11.225243392518447
1086,2,2,1,1,2018.0,5.0,1,7,7.94,23.0,1498.0,1,11.373962203564496
1087,2,5,1,2,2021.0,7.0,1,10,28.5,12.0,2393.0,1,10.404262840448617
1088,1,4,2,1,2020.0,5.0,2,4,10.69,18.6,1498.0,1,10.526587734784039
1089,1,3,1,1,2016.0,5.0,1,13,3.27,25.17,799.0,1,11.094982835350951
1090,2,2,2,2,2019.0,7.0,2,22,19.0,13.8,2999.0,1,10.714417768752456
1091,1,4,1,1,2015.0,5.0,1,4,4.25,18.6,1199.0,1,11.048744849027281
1092,2,3,1,1,2017.0,6.0,1,12,4.35,25.32,1198.0,1,11.041993404865915
1093,1,4,2,1,2014.0,5.0,2,15,3.3,15.04,1598.0,1,11.950735135497359
1094,1,4,1,1,2017.0,5.0,1,4,8.0,17.4,1497.0,1,11.055924927899145
1095,1,4,1,1,2017.0,5.0,1,4,7.5,17.0,1497.0,1,10.761004448831892
1096,1,3,1,2,2016.0,5.0,1,3,4.95,18.9,1197.0,1,9.786785182749986
1097,1,3,1,1,2015.0,5.0,1,1,4.75,18.6,1197.0,1,10.874304347764848
1098,2,2,2,1,2018.0,5.0,2,4,7.0,25.5,1498.0,1,10.754279302177588
1099,2,4,1,2,2016.0,5.0,1,6,27.0,21.76,1995.0,1,10.4341158035983
1100,1,2,1,1,2018.0,5.0,1,7,7.85,17.0,1497.0,1,11.156793230880718
1101,1,3,1,1,2021.0,5.0,1,8,7.95,18.05,1199.0,1,9.677652883410428
1102,1,4,2,1,2014.0,5.0,2,4,4.15,18.6,1199.0,1,11.064448466268773
1103,1,4,1,2,2017.0,5.0,1,1,6.6,21.21,1197.0,1,10.844509920629466
1104,1,2,2,2,2015.0,5.0,2,7,5.43,15.63,1499.0,1,10.934374023807974
1105,2,3,1,1,2017.0,5.0,1,4,6.5,27.3,1498.0,1,10.547969561114792
1106,2,2,3,2,2017.0,7.0,3,12,11.29,16.0,1997.0,1,11.380924329476233
1107,1,3,1,1,2010.0,5.0,1,3,2.7,20.36,1197.0,1,9.576648764883153
1108,1,4,2,2,2018.0,5.0,2,8,5.57,20.3,1199.0,1,10.585118677134826
1109,1,3,2,1,2016.0,5.0,2,3,4.41,18.9,1197.0,1,11.64839123547892
1110,2,3,1,1,2015.0,5.0,1,18,3.4,20.3,1248.0,1,11.114371420352308
1111,1,3,1,1,2021.0,5.0,1,15,10.0,18.24,999.0,1,10.474608332085875
1112,2,3,1,1,2010.0,5.0,1,15,2.95,22.07,1199.0,1,11.050763013183518
1113,1,3,1,1,2009.0,5.0,1,3,1.65,17.92,1086.0,1,11.453610610034549
1114,2,3,2,1,2013.0,5.0,2,8,1.49,25.0,1396.0,1,11.527055168876036
1115,1,4,1,1,2013.0,5.0,1,10,4.75,17.6,1496.0,1,9.982622155699856
1116,1,3,4,1,2010.0,5.0,4,2,1.35,18.06,1198.0,1,11.267152795595656
1117,1,3,1,1,2015.0,5.0,1,3,4.3,18.9,1197.0,1,10.594682829370829
1118,1,3,2,1,2017.0,5.0,2,1,3.75,21.79,998.0,1,11.024708984065096
1119,1,3,1,1,2008.0,5.0,1,3,1.45,19.81,1086.0,1,11.0062578513529
1120,1,3,3,2,2014.0,5.0,3,3,3.98,18.9,1197.0,1,11.425372122962267
1121,1,3,1,2,2021.0,5.0,1,3,10.76,20.25,998.0,1,10.08159189604006
1122,1,3,1,1,2015.0,5.0,1,1,4.3,21.21,1197.0,1,11.396391648714276
1123,1,3,2,2,2017.0,5.0,2,1,4.0,23.1,998.0,1,11.487043395256125
1124,1,3,2,1,2012.0,5.0,2,3,2.87,20.36,1197.0,1,11.151668611526384
1125,1,3,1,1,2014.0,5.0,1,3,4.95,18.6,1197.0,1,11.378605189831132
1126,1,3,1,1,2015.0,5.0,1,3,2.98,21.1,814.0,1,11.494802226710538
1127,2,5,1,1,2014.0,7.0,1,4,4.25,24.2,1498.0,1,11.992080838957374
1128,1,4,2,1,2012.0,5.0,2,4,4.31,16.8,1497.0,1,11.593011248639058
1129,1,3,1,1,2016.0,5.0,1,3,5.77,18.6,1197.0,1,10.758859869440865
1130,1,4,1,2,2018.0,5.0,1,8,6.0,20.3,1199.0,1,9.802506322682014
1131,1,3,1,1,2009.0,5.0,1,3,2.25,19.81,1086.0,1,10.714084379851219
1132,2,4,1,1,2017.0,5.0,1,1,6.75,26.21,1248.0,1,11.339702391161532
1133,2,2,1,1,2020.0,5.0,1,9,14.75,17.1,1956.0,1,10.830124576464428
1134,2,4,3,1,2010.0,5.0,3,28,1.45,19.2,1461.0,1,11.315985579152654
1135,1,3,2,1,2005.0,5.0,2,3,1.0,17.0,1086.0,1,11.425666784676384
